period,demand,forecast
2019-01,2376,2706
2019-02,736,933
2019-03,818,3550
2019-04,1234,104
2019-05,448,2858
2019-06,1203,3457
2019-07,2331,1765
2019-08,2879,3866
2019-09,2229,3151
2019-10,657,3000
2019-11,2525,849
2019-12,2008,855
2020-01,2642,2385
2020-02,2689,3177
2020-03,201,1647
2020-04,508,3477
2020-05,2488,3909
2020-06,2353,3373
2020-07,2680,2056
2020-08,2831,41
2020-09,983,2953
2020-10,39,3246
2020-11,1210,3280
2020-12,2725,1696
2021-01,845,1798
2021-02,2818,3238
2021-03,1561,1467
2021-04,2230,261
2021-05,1235,558
2021-06,1276,433
2021-07,822,3462
2021-08,2256,3559
2021-09,863,21
2021-10,1450,2547
2021-11,182,1841
2021-12,613,2964
2022-01,780,2051
2022-02,1602,2789
2022-03,712,1992
2022-04,1506,2613
2022-05,2666,3204
2022-06,1893,2043
2022-07,166,2631
2022-08,372,1378
2022-09,2208,715
2022-10,875,2127
2022-11,1408,2410
2022-12,263,84
2023-01,1032,3831
