period,demand,forecast
2019-01,1632,3359
2019-02,118,2223
2019-03,1251,3624
2019-04,246,3288
2019-05,1565,206
2019-06,1184,3739
2019-07,1677,3796
2019-08,1437,3376
2019-09,2775,844
2019-10,2527,615
2019-11,480,3345
2019-12,1835,2293
2020-01,505,758
2020-02,2966,3971
2020-03,1166,501
2020-04,1487,2910
2020-05,1926,2001
2020-06,2191,194
2020-07,1520,3206
2020-08,1206,3678
2020-09,2803,2954
2020-10,1524,1426
2020-11,1979,2670
2020-12,651,829
2021-01,1135,2060
2021-02,209,1823
2021-03,695,7
2021-04,1029,3556
2021-05,973,174
2021-06,899,1164
2021-07,1143,2164
2021-08,1681,1722
2021-09,41,91
2021-10,2704,2348
2021-11,328,1899
2021-12,2450,749
2022-01,1109,3017
2022-02,1322,1877
2022-03,2,1412
2022-04,1373,1342
2022-05,861,2144
2022-06,2663,887
2022-07,143,887
2022-08,1336,3784
2022-09,535,3523
2022-10,2732,1457
2022-11,667,3399
2022-12,2825,2452
2023-01,560,3371
