period,demand,forecast
2019-01,661,4
2019-02,721,2167
2019-03,1678,4480
2019-04,1851,1495
2019-05,497,1861
2019-06,2683,4749
2019-07,35,1681
2019-08,1940,3213
2019-09,2700,4743
2019-10,789,919
2019-11,1115,2106
2019-12,2070,3853
2020-01,927,396
2020-02,2924,4224
2020-03,1961,4761
2020-04,879,3334
2020-05,1762,2160
2020-06,383,4379
2020-07,1093,3736
2020-08,2253,1560
2020-09,701,1386
2020-10,471,3398
2020-11,963,25
2020-12,2987,3919
2021-01,2640,3861
2021-02,1883,4543
2021-03,903,1713
2021-04,2081,4532
2021-05,1975,2523
2021-06,2116,3986
2021-07,701,1446
2021-08,2934,669
2021-09,1878,1968
2021-10,1811,2017
2021-11,2200,1913
2021-12,1531,4511
2022-01,2637,1015
2022-02,2059,3524
2022-03,627,354
2022-04,2609,3329
2022-05,1656,4882
2022-06,2520,4788
2022-07,1742,3478
2022-08,1184,2656
2022-09,694,3371
2022-10,2664,4354
2022-11,196,2608
2022-12,2702,4963
2023-01,1004,4299
