period,depo,part_no,group,demand,forecast,po_md,supply_ahm
2022-04,CRB,83704AHM440,AHM,112,130,139,114
2023-10,BDG,67183BRN892,BRNG3,51,46,48,33
2022-06,KRW,97443MUF245,MUF,29,32,29,20
2022-09,BDG,55018DIS634,DISK,133,117,141,133
2024-07,BDG,80584SPL753,SPLUG,85,101,103,86
2025-07,KRW,20827RPI598,RPIST,131,100,137,103
2025-07,CRB,85126BRN897,BRNG3,106,100,96,81
2023-10,BDG,63178CCK644,CCKIT,48,44,51,51
2024-09,KRW,81325GMO595,GMO,235,234,247,229
2022-12,BDG,12753SDX362,SD,126,123,113,95
2023-11,KRW,21637CRK184,CRKIT,142,106,145,125
2024-04,BDG,44411SDX583,SD,101,110,107,107
2022-03,KRW,64924EVC165,EVCH,118,126,137,134
2025-10,KRW,77986BRN496,BRNG,133,149,158,142
2024-11,CRB,77777BRN222,BRNG,110,103,101,101
2025-05,BDG,68946SPG991,SPGUI,125,140,138,97
2025-11,KRW,77743TAS627,TAS,135,154,139,120
2024-12,BDG,22170EVC378,EVCH,132,146,137,120
2024-09,BDG,76208CDK304,CDKGP,97,74,97,97
2022-02,BDG,80016CRK238,CRKIT,65,59,62,54
2024-07,CRB,73716TIR448,TIRE,154,135,164,145
2024-02,BDG,74811RSK451,RSKIT,57,42,60,53
2025-09,KRW,51354BLD467,BLDRV,33,32,36,35
2023-02,CRB,64359EVC484,EVCH,80,67,87,62
2024-09,CRB,89357CAB429,CABLE,116,140,129,101
2022-04,CRB,52558GMO348,GMO,219,176,222,222
2025-06,CRB,85360CRK381,CRKIT,147,135,160,135
2023-10,BDG,15604CAB581,CABLE,42,45,47,40
2024-11,BDG,88825ELE892,ELECT,139,119,149,126
2023-07,KRW,43208SPG391,SPGUI,21,19,21,15
2022-11,CRB,45317GST637,GST,104,78,107,81
2022-11,KRW,22079SAO205,SAOIL,63,74,73,57
2024-05,KRW,61430SDX516,SD,108,109,118,106
2024-05,BDG,27637GMO299,GMO,232,249,249,186
2023-02,BDG,96011FLU429,FLUID,170,133,184,129
2024-12,BDG,34369FLU411,FLUID,165,196,193,153
2022-08,CRB,39482TAS524,TAS,91,69,88,65
2023-03,KRW,15582TAS393,TAS,129,108,118,116
2022-09,CRB,12283TIR555,TIRE,48,47,51,44
2024-10,CRB,22433DIS707,DISK,105,127,116,111
2025-07,CRB,72280TIR243,TIRE1,61,52,59,49
2022-01,BDG,96678AHM514,AHM,84,69,83,82
2022-04,BDG,37046BRN936,BRNG,48,38,49,39
2023-04,BDG,62522PSK453,PSKIT,117,92,105,84
2023-03,BDG,10105GMO903,GMO,187,226,216,159
2025-03,KRW,27072SDX966,SD,110,136,137,112
2024-03,BDG,10379SPL762,SPLUG,93,101,90,73
2023-07,BDG,79998MUF303,MUF,72,70,66,58
2024-02,KRW,95653TB1666,TB1,35,38,37,31
2024-11,BDG,31149MUF898,MUF,24,18,25,22
2023-01,CRB,19645CAB469,CABLE,39,43,39,28
2022-04,CRB,25647IMP782,IMPOR,47,37,44,41
2024-11,BDG,67607EVC340,EVCH,110,117,123,111
2022-01,BDG,57024BLD790,BLDRV,52,50,50,49
2022-12,BDG,20991MUF278,MUF,19,16,17,14
2024-11,CRB,25992PLA910,PLAST,74,69,71,69
2025-01,CRB,88308CRK660,CRKIT,37,37,34,27
2025-07,CRB,75207ACG146,ACG,233,207,254,212
2024-04,BDG,85797BRN294,BRNG,71,72,77,55
2024-02,KRW,38336VAL191,VALVE,150,182,166,160
2024-05,BDG,78855SDX200,SD,113,96,102,99
2025-10,BDG,66182PLA773,PLAST,159,145,148,134
2025-08,BDG,96681AHM697,AHM,29,31,31,29
2023-08,CRB,96614RSK662,RSKIT,141,125,150,130
2022-06,BDG,95884SPG352,SPGUI,56,58,59,43
2025-05,KRW,47252RIM953,RIMWH,27,31,30,27
2024-11,KRW,58817SPG872,SPGUI,98,75,89,65
2024-03,KRW,27799CAB618,CABLE,58,61,57,46
2025-08,KRW,75212BAT443,BATT,184,207,222,211
2023-09,KRW,98616SPO592,SPOKE,144,172,177,139
2022-12,BDG,28389BAT250,BATT,35,38,35,34
2025-06,BDG,95724TB1287,TB1,145,121,146,113
2024-08,KRW,67509TAS330,TAS,21,18,23,19
2022-05,CRB,21567TIR435,TIRE1,143,110,140,116
2024-05,CRB,81859ACB811,ACB,93,114,110,104
2025-08,KRW,98758RIM956,RIMWH,124,95,114,96
2024-07,CRB,56721SPO657,SPOKE,22,23,21,21
2023-08,KRW,11317OIL714,OIL,152,117,153,153
2024-08,KRW,53134PLA814,PLAST,139,108,130,105
2024-03,KRW,43706RPI191,RPIST,49,45,53,38
2025-09,BDG,68785IMP847,IMPOR,61,72,70,63
2024-04,CRB,59338VAL953,VALVE,30,23,28,24
2025-11,CRB,75547IMP429,IMPOR,98,103,95,80
2022-03,BDG,80043DIS872,DISK,108,89,110,89
2022-03,KRW,50914RIM895,RIMWH,52,45,51,39
2022-11,BDG,45346RBR546,RBR,159,157,157,150
2025-11,CRB,52218AHM491,AHM,149,185,200,179
2025-01,KRW,68215SPL793,SPLUR,51,39,53,50
2025-04,CRB,64688SPL927,SPLUG,96,80,96,95
2022-06,KRW,55126MUF816,MUF,34,37,40,40
2025-02,BDG,35714BRA403,BRAKE,102,84,97,75
2023-01,KRW,68634SPL126,SPLUG,36,32,39,29
2022-12,BDG,32905EVC572,EVCH,56,44,50,38
2024-04,BDG,41131BAT788,BATT,35,30,32,31
2023-08,BDG,50752PST543,PSTN,55,61,66,59
2024-04,KRW,67807SPL617,SPLUG,74,60,69,64
2022-10,KRW,22379SPG409,SPGUI,60,50,59,55
2025-05,BDG,82419TBH753,TBHGP,26,29,31,25
2023-03,KRW,29853PSK732,PSKIT,44,38,42,32
2023-02,BDG,19306ACB289,ACB,278,221,278,278
2024-06,CRB,28536RSK371,RSKIT,39,35,41,37
2023-10,BDG,58856PST971,PSTN,163,131,162,162
2022-08,BDG,55449GST483,GST,77,78,71,64
2024-05,CRB,69390MUF873,MUF,53,44,54,41
2022-10,KRW,85109SDN475,SDN,89,85,86,67
2024-02,KRW,39551TBH790,TBHGP,148,111,160,160
2025-03,BDG,95536BRN577,BRNG,115,127,122,113
2023-10,CRB,33894TAS785,TAS,30,26,31,23
2025-06,BDG,60026CHA676,CHAIN,49,43,48,40
2024-03,CRB,95088TBH409,TBHGP,122,96,127,106
2022-06,CRB,15279BRN156,BRNG3,114,129,130,111
2023-04,BDG,91504RBR904,RBR,118,119,108,105
2023-12,BDG,72951CCK650,CCKIT,63,77,70,61
2025-05,CRB,91553DIS318,DISK,69,65,70,53
2023-01,BDG,80630TAS938,TAS,74,66,79,62
2024-02,CRB,23940BRA731,BRAKE,75,91,93,93
2024-05,BDG,61214VAL843,VALVE,25,28,28,25
2023-10,KRW,94134BAT521,BATT,68,79,86,82
2023-04,CRB,98630SPG360,SPGUI,89,81,96,85
2025-05,CRB,27416IMP247,IMPOR,169,140,168,121
2025-05,CRB,53062TIR125,TIRE1,48,45,47,36
